read_id,pod5_file,target_gene,signal_start,signal_end,label,coverage_pct
8f80cf4e-090f-4d59-9510-a1e2d045f6de,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_1.pod5,NONE_BACKGROUND,10000,40000,0,0.0
3a079f76-1213-4cd5-b8ac-92ce491a0079,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_5.pod5,NONE_BACKGROUND,10000,40000,0,0.0
feb820e3-81f4-4354-abb5-2d7aba7be508,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_0.pod5,ENA|HEE1644226|HEE1644226.1,17404,24244,1,100.0
cb29e533-e9e1-42b5-bf2f-54e94046d6c4,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_0.pod5,NONE_BACKGROUND,10000,40000,0,0.0
528f3ee2-afd6-4ca8-a9c3-213352c8cb1d,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_6.pod5,NONE_BACKGROUND,10000,40000,0,0.0
96af565c-737a-4d99-ada9-dbbf28d04b10,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_0.pod5,NONE_BACKGROUND,10000,40000,0,0.0
374dfdb2-749a-4e86-85d9-cafde806484f,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_8.pod5,NONE_BACKGROUND,10000,40000,0,0.0
45d2d7a7-2722-4a11-8e17-c39045819020,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_12.pod5,ENA|HEE1644226|HEE1644226.1,60238,73180,1,99.88
26852034-2ec6-4cd7-bdf7-e26ff3cd3aee,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_3.pod5,NONE_BACKGROUND,10000,40000,0,0.0
9aeedf9b-429b-4bbd-9f83-e94ba144813a,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_1.pod5,NONE_BACKGROUND,10000,40000,0,0.0
2bc4f4e3-4431-485d-88aa-31f1d124afc8,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_10.pod5,NONE_BACKGROUND,10000,40000,0,0.0
2f828a87-91bd-4b71-89f3-7ef75ad567fd,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_9.pod5,NONE_BACKGROUND,10000,40000,0,0.0
94de0415-e12a-4e75-8ef7-72a29826e540,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_9.pod5,NONE_BACKGROUND,10000,40000,0,0.0
1c7f4846-d296-418f-9f7b-a2927f4d5cf8,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_2.pod5,ENA|HEE1644226|HEE1644226.1,74686,83680,1,100.0
6e3ff78c-af3c-47f3-a2b6-b36d9f514450,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_11.pod5,NONE_BACKGROUND,10000,40000,0,0.0
d070e2b5-35a2-452f-ad14-39ee392972d4,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_4.pod5,NONE_BACKGROUND,10000,40000,0,0.0
5a60cd40-e490-480d-a28c-27050c3c0581,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_4.pod5,ENA|HEE1644226|HEE1644226.1,18568,29290,1,100.0
ca49a6c4-e289-4f3f-8e1e-712c894b7aea,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_6.pod5,NONE_BACKGROUND,10000,40000,0,0.0
