read_id,pod5_file,target_gene,signal_start,signal_end,label
cb064c75-e695-46b1-982e-41b0b12ad1b7,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_0.pod5,ENA|HEE1644226|HEE1644226.1,1456,11632,1
feb820e3-81f4-4354-abb5-2d7aba7be508,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_0.pod5,ENA|HEE1644226|HEE1644226.1,17404,24244,1
87a5419d-ce24-4904-8433-8ee5ea93e197,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_0.pod5,ENA|HEE1644226|HEE1644226.1,154222,202912,1
06fec9fd-a313-4d45-9387-0459dd154b51,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_0.pod5,ENA|HEE1644226|HEE1644226.1,74092,84052,1
f0a3e01f-de39-4f35-82be-a43cd7d164e6,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_0.pod5,ENA|MZ092836|MZ092836.1,29764,41698,1
72de8ba8-e486-4fcb-a1f1-ba10494b8a51,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_0.pod5,ENA|HEE1644226|HEE1644226.1,5380,16516,1
5f433dc3-eeb4-4c20-8ce6-8706ded6a1e4,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_0.pod5,ENA|HEE1644226|HEE1644226.1,11122,23452,1
ffc6eba4-36ac-48c7-a41d-098b470be22e,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_0.pod5,ENA|HEE1644226|HEE1644226.1,68182,82978,1
809372f9-fdbc-4a56-aa87-3a940a3025a3,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_0.pod5,ENA|HEE1644226|HEE1644226.1,1690,4234,1
c88af0fd-b424-4cd6-9d48-939cef84191e,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_0.pod5,ENA|HEE1644226|HEE1644226.1,21592,31402,1
54ac70df-2b69-476b-b3ca-94edcdc1aaf4,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_0.pod5,ENA|HEE1644226|HEE1644226.1,1696,10006,1
4c942bc4-bf6a-4bc7-8941-d4b4b03991d0,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_0.pod5,ENA|HEE1644226|HEE1644226.1,267466,278410,1
2d1fc559-de57-46f0-8413-64616e554ede,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_0.pod5,ENA|HEE1644226|HEE1644226.1,58462,60682,1
a935bc8e-d834-4d02-8c07-37f4fde9aa17,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_0.pod5,ENA|MH733892|MH733892.1,1768,4234,1
c98a2190-fe6b-4308-a88f-7d26bba1ae6b,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_0.pod5,ENA|MH733892|MH733892.1,107902,119326,1
f5160c22-cac1-4594-b022-c9e4eaadd0fa,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_0.pod5,ENA|MH733892|MH733892.1,1402,3478,1
c957bd6a-01f3-4980-95f2-26d342ae38d7,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_0.pod5,ENA|MZ092836|MZ092836.1,24412,27532,1
9a114c44-8b14-4065-ba1a-14c080872b89,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_0.pod5,ENA|HEE1644226|HEE1644226.1,130,5404,1
1a332bf3-444f-416a-8201-9a813a8b1255,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_0.pod5,ENA|HEE1644226|HEE1644226.1,5002,17704,1
586e4757-b238-4fb2-9d34-07f34355f8a6,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_0.pod5,ENA|HEE1644226|HEE1644226.1,17284,26158,1
f80ce9f5-c0f3-45cc-b180-054586a78279,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_0.pod5,ENA|HEE1644226|HEE1644226.1,152200,162766,1
38b23852-9916-4cf8-84a3-f1d23fc8ff8e,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_0.pod5,ENA|MH733892|MH733892.1,2314,11476,1
9aca8369-bf19-4f21-b595-c88328dd05bd,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_0.pod5,ENA|MH733892|MH733892.1,77404,86458,1
e75b4b71-aafb-4e69-8fcf-6af523ce3f96,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_1.pod5,ENA|HEE1644226|HEE1644226.1,11302,21310,1
0228701f-c4cc-4527-8d22-d887e5430d28,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_1.pod5,ENA|HEE1644226|HEE1644226.1,37300,48028,1
8fdb9e6b-738d-4ab4-b9f7-0d1d66561246,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_1.pod5,ENA|MZ092836|MZ092836.1,11518,25606,1
339f12b2-6544-4778-893b-880468487bb4,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_1.pod5,ENA|HEE1644226|HEE1644226.1,22048,34786,1
36052efb-cbf3-416b-a562-6ba28023dcb9,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_1.pod5,ENA|HEE1644226|HEE1644226.1,78544,81508,1
ebf37b28-431e-4937-b8aa-2094e875b1dd,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_1.pod5,ENA|HEE1644226|HEE1644226.1,123382,136066,1
1e722209-f69a-4087-a9d9-283e1780fad4,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_1.pod5,ENA|MZ092836|MZ092836.1,16,8266,1
495519fd-a2b4-40a2-9394-aabf8f66b3eb,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_1.pod5,ENA|HEE1644226|HEE1644226.1,820,4330,1
1a24e870-8734-48fa-ad9a-c3c926da0909,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_1.pod5,ENA|MZ092836|MZ092836.1,142312,142312,1
f1a74803-0d36-4928-a3a4-d8a155e15658,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_1.pod5,ENA|MZ092836|MZ092836.1,47224,61132,1
be3d3170-1a08-417f-b0ae-7d75a1166635,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_1.pod5,ENA|MH733892|MH733892.1,266464,276436,1
4ae8cfcd-ad77-46eb-92fd-62854e3157ca,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_1.pod5,ENA|HEE1644226|HEE1644226.1,30370,42364,1
f8d663ac-bd9f-44f2-be6a-fff9db117e1c,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_1.pod5,ENA|HEE1644226|HEE1644226.1,19900,22348,1
853d4e3a-74d2-44df-9763-e5364254e6c2,PAQ63858_pass_barcode48_33cbe55b_d2f2cde4_1.pod5,ENA|HEE1644226|HEE1644226.1,19840,22000,1
